"Passengers (All U.S. Carriers - Atlanta, GA: Hartsfield-Jackson Atlanta International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2016,12,"36,16,391","4,01,149","40,17,540"
2016,TOTAL,"4,49,04,479","46,43,367","4,95,47,846"
2017,1,"32,78,978","3,67,874","36,46,852"
2017,2,"31,75,699","3,45,165","35,20,864"
2017,3,"38,93,620","4,21,395","43,15,015"
2017,4,"35,44,465","4,00,934","39,45,399"
2017,5,"40,26,847","4,44,076","44,70,923"
2017,6,"39,79,928","4,98,847","44,78,775"
2017,7,"39,68,085","5,05,126","44,73,211"
2017,8,"39,46,228","4,62,612","44,08,840"
2017,9,"33,73,219","3,62,479","37,35,698"
2017,10,"39,78,568","3,67,408","43,45,976"
2017,11,"37,53,959","3,37,189","40,91,148"
2017,12,"34,31,442","3,96,746","38,28,188"
2017,TOTAL,"4,43,51,038","49,09,851","4,92,60,889"
2018,1,"32,32,202","3,83,360","36,15,562"
2018,2,"32,04,716","3,61,169","35,65,885"
2018,3,"39,65,168","4,56,763","44,21,931"
2018,4,"38,44,151","4,10,469","42,54,620"
2018,5,"40,81,926","4,68,394","45,50,320"
2018,6,"40,17,606","5,03,016","45,20,622"
2018,7,"41,17,061","5,05,738","46,22,799"
2018,8,"41,02,227","4,75,113","45,77,340"
2018,9,"35,76,210","3,72,093","39,48,303"
2018,10,"40,04,355","3,75,880","43,80,235"
2018,11,"38,69,711","3,47,092","42,16,803"
2018,12,"36,95,258","4,18,853","41,14,111"
2018,TOTAL,"4,57,10,591","50,77,940","5,07,88,531"
2019,1,"33,86,637","3,82,389","37,69,026"
2019,2,"32,72,137","3,58,554","36,30,691"
2019,3,"41,29,573","4,55,996","45,85,569"
2019,4,"39,29,355","4,29,883","43,59,238"
2019,5,"42,45,390","4,81,311","47,26,701"
2019,6,"42,07,972","5,05,443","47,13,415"
2019,7,"43,06,188","4,94,284","48,00,472"
2019,8,"42,12,111","4,74,739","46,86,850"
2019,9,"37,52,623","3,79,570","41,32,193"
2019,10,"41,26,336","3,78,309","45,04,645"
2019,11,"37,64,889","3,50,476","41,15,365"
2019,12,"39,28,011","4,16,667","43,44,678"
2019,TOTAL,"4,72,61,222","51,07,621","5,23,68,843"
2020,1,"35,30,955","3,85,655","39,16,610"
2020,2,"34,09,301","3,53,799","37,63,100"
2020,3,"19,23,568","1,88,640","21,12,208"
2020,4,"1,74,973","9,460","1,84,433"
2020,5,"3,64,012","9,309","3,73,321"
2020,6,"7,23,441","15,621","7,39,062"
2020,7,"11,49,414","38,773","11,88,187"
2020,8,"13,65,765","48,294","14,14,059"
2020,9,"14,38,217","53,325","14,91,542"
2020,10,"16,25,607","72,391","16,97,998"
2020,11,"15,63,807","90,972","16,54,779"
2020,12,"16,07,949","1,38,577","17,46,526"
2020,TOTAL,"1,88,77,009","14,04,816","2,02,81,825"
2021,1,"14,66,718","1,07,173","15,73,891"
2021,2,"14,42,427","90,315","15,32,742"
2021,3,"20,96,140","1,17,831","22,13,971"
2021,4,"22,38,351","1,30,123","23,68,474"
2021,5,"31,11,761","2,11,118","33,22,879"
2021,6,"33,51,828","2,43,557","35,95,385"
2021,7,"36,16,193","2,78,192","38,94,385"
2021,8,"33,78,015","2,61,995","36,40,010"
2021,9,"31,60,951","2,32,114","33,93,065"
2021,10,"34,20,331","2,40,366","36,60,697"
2021,11,"33,77,229","2,39,713","36,16,942"
2021,12,"32,22,013","2,76,279","34,98,292"
2021,TOTAL,"3,38,81,957","24,28,776","3,63,10,733"
2022,1,"26,06,611","2,26,039","28,32,650"
2022,2,"27,33,525","2,29,812","29,63,337"
2022,3,"34,71,410","2,96,626","37,68,036"
2022,4,"34,05,235","3,13,190","37,18,425"
2022,5,"36,64,005","3,57,125","40,21,130"
2022,6,"35,10,428","3,91,093","39,01,521"
2022,7,"35,79,498","3,78,042","39,57,540"
2022,8,"35,27,355","3,66,642","38,93,997"
2022,9,"34,44,547","3,48,607","37,93,154"
2022,10,"36,15,901","3,48,687","39,64,588"
2022,11,"35,22,880","3,12,473","38,35,353"
2022,12,"34,44,649","3,63,857","38,08,506"
2022,TOTAL,"4,05,26,044","39,32,193","4,44,58,237"
2023,1,"31,97,792","3,39,250","35,37,042"
2023,2,"30,56,217","3,14,954","33,71,171"
2023,3,"37,20,602","3,91,004","41,11,606"
2023,4,"36,62,881","3,96,654","40,59,535"
2023,5,"40,18,737","4,59,647","44,78,384"
2023,6,"39,85,638","4,93,799","44,79,437"
2023,7,"40,84,447","4,92,526","45,76,973"
2023,TOTAL,"2,57,26,314","28,87,834","2,86,14,148"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,
