Year,Month,DOMESTIC,INTERNATIONAL,TOTAL,City
2008,1,"9,96,359","73,967","10,70,326",Seattle
2008,2,"9,96,689","73,101","10,69,790",Seattle
2008,3,"11,87,164","83,210","12,70,374",Seattle
2008,4,"11,12,424","66,417","11,78,841",Seattle
2008,5,"12,43,599","62,963","13,06,562",Seattle
2008,6,"13,99,182","65,289","14,64,471",Seattle
2008,7,"14,79,950","62,694","15,42,644",Seattle
2008,8,"15,16,999","68,301","15,85,300",Seattle
2008,9,"12,03,441","61,541","12,64,982",Seattle
2008,10,"11,41,156","58,692","11,99,848",Seattle
2008,11,"10,22,753","61,889","10,84,642",Seattle
2008,12,"11,03,995","67,295","11,71,290",Seattle
2008,TOTAL,"1,44,03,711","8,05,359","1,52,09,070",Seattle
2009,1,"9,30,933","66,337","9,97,270",Seattle
2009,2,"9,08,563","61,198","9,69,761",Seattle
2009,3,"11,39,130","71,945","12,11,075",Seattle
2009,4,"10,68,228","61,035","11,29,263",Seattle
2009,5,"11,83,243","57,211","12,40,454",Seattle
2009,6,"13,41,432","54,824","13,96,256",Seattle
2009,7,"14,44,320","55,502","14,99,822",Seattle
2009,8,"14,53,497","58,852","15,12,349",Seattle
2009,9,"12,01,569","54,540","12,56,109",Seattle
2009,10,"11,30,489","53,843","11,84,332",Seattle
2009,11,"10,36,456","58,124","10,94,580",Seattle
2009,12,"11,28,739","67,846","11,96,585",Seattle
2009,TOTAL,"1,39,66,599","7,21,257","1,46,87,856",Seattle
2010,1,"9,54,905","72,080","10,26,985",Seattle
2010,2,"8,95,211","61,539","9,56,750",Seattle
2010,3,"11,05,311","68,927","11,74,238",Seattle
2010,4,"10,47,501","59,573","11,07,074",Seattle
2010,5,"11,42,114","60,945","12,03,059",Seattle
2010,6,"13,33,245","67,137","14,00,382",Seattle
2010,7,"14,44,478","65,760","15,10,238",Seattle
2010,8,"14,56,885","69,482","15,26,367",Seattle
2010,9,"12,17,637","65,601","12,83,238",Seattle
2010,10,"11,49,889","65,636","12,15,525",Seattle
2010,11,"10,92,604","63,469","11,56,073",Seattle
2010,12,"11,67,287","73,188","12,40,475",Seattle
2010,TOTAL,"1,40,07,067","7,93,337","1,48,00,404",Seattle
2011,1,"9,90,835","71,183","10,62,018",Seattle
2011,2,"9,28,579","65,389","9,93,968",Seattle
2011,3,"11,74,099","74,837","12,48,936",Seattle
2011,4,"11,00,898","69,803","11,70,701",Seattle
2011,5,"12,08,753","68,981","12,77,734",Seattle
2011,6,"13,75,375","69,140","14,44,515",Seattle
2011,7,"14,72,834","69,595","15,42,429",Seattle
2011,8,"15,00,128","78,624","15,78,752",Seattle
2011,9,"12,59,634","66,653","13,26,287",Seattle
2011,10,"11,53,751","62,320","12,16,071",Seattle
2011,11,"11,29,912","61,815","11,91,727",Seattle
2011,12,"11,94,183","68,947","12,63,130",Seattle
2011,TOTAL,"1,44,88,981","8,27,287","1,53,16,268",Seattle
2012,1,"9,82,707","66,598","10,49,305",Seattle
2012,2,"9,83,699","65,271","10,48,970",Seattle
2012,3,"11,80,559","79,400","12,59,959",Seattle
2012,4,"11,26,168","70,791","11,96,959",Seattle
2012,5,"12,03,543","72,241","12,75,784",Seattle
2012,6,"13,88,964","76,537","14,65,501",Seattle
2012,7,"14,87,415","73,351","15,60,766",Seattle
2012,8,"15,00,333","82,938","15,83,271",Seattle
2012,9,"12,36,922","72,537","13,09,459",Seattle
2012,10,"11,55,693","74,111","12,29,804",Seattle
2012,11,"11,21,010","68,192","11,89,202",Seattle
2012,12,"11,70,707","76,230","12,46,937",Seattle
2012,TOTAL,"1,45,37,720","8,78,197","1,54,15,917",Seattle
2013,1,"10,24,073","73,638","10,97,711",Seattle
2013,2,"9,83,458","71,629","10,55,087",Seattle
2013,3,"11,92,794","84,256","12,77,050",Seattle
2013,4,"11,37,687","74,106","12,11,793",Seattle
2013,5,"12,55,849","81,787","13,37,636",Seattle
2013,6,"14,33,511","91,218","15,24,729",Seattle
2013,7,"15,49,936","86,714","16,36,650",Seattle
2013,8,"15,62,472","99,414","16,61,886",Seattle
2013,9,"12,70,394","85,686","13,56,080",Seattle
2013,10,"11,92,701","79,039","12,71,740",Seattle
2013,11,"10,93,111","71,795","11,64,906",Seattle
2013,12,"12,53,570","82,334","13,35,904",Seattle
2013,TOTAL,"1,49,49,556","9,81,616","1,59,31,172",Seattle
2014,1,"10,59,353","78,371","11,37,724",Seattle
2014,2,"10,01,389","70,781","10,72,170",Seattle
2014,3,"12,14,967","83,873","12,98,840",Seattle
2014,4,"12,04,716","79,431","12,84,147",Seattle
2014,5,"12,96,179","81,091","13,77,270",Seattle
2014,6,"15,33,121","94,071","16,27,192",Seattle
2014,7,"16,70,697","92,954","17,63,651",Seattle
2014,8,"17,14,870","1,11,548","18,26,418",Seattle
2014,9,"13,81,479","96,453","14,77,932",Seattle
2014,10,"13,26,791","89,352","14,16,143",Seattle
2014,11,"12,19,311","90,852","13,10,163",Seattle
2014,12,"13,73,679","1,06,153","14,79,832",Seattle
2014,TOTAL,"1,59,96,552","10,74,930","1,70,71,482",Seattle
2015,1,"11,80,556","1,01,303","12,81,859",Seattle
2015,2,"11,13,548","96,271","12,09,819",Seattle
2015,3,"13,74,569","1,14,039","14,88,608",Seattle
