Year,Month,DOMESTIC,INTERNATIONAL,TOTAL,City
2018,7,"2,295",0,"2,295",Boise
2018,8,"2,240",0,"2,240",Boise
2018,9,"1,948",0,"1,948",Boise
2018,10,"2,072",0,"2,072",Boise
2018,11,"2,014",0,"2,014",Boise
2018,12,"2,110",1,"2,111",Boise
2018,TOTAL,"24,918",2,"24,920",Boise
2019,1,"2,061",0,"2,061",Boise
2019,2,"1,824",0,"1,824",Boise
2019,3,"2,070",1,"2,071",Boise
2019,4,"1,989",0,"1,989",Boise
2019,5,"2,106",0,"2,106",Boise
2019,6,"2,142",0,"2,142",Boise
2019,7,"2,237",0,"2,237",Boise
2019,8,"2,317",0,"2,317",Boise
2019,9,"2,158",0,"2,158",Boise
2019,10,"2,264",0,"2,264",Boise
2019,11,"2,170",0,"2,170",Boise
2019,12,"2,349",0,"2,349",Boise
2019,TOTAL,"25,687",1,"25,688",Boise
2020,1,"2,196",0,"2,196",Boise
2020,2,"2,033",1,"2,034",Boise
2020,3,"2,016",0,"2,016",Boise
2020,4,713,0,713,Boise
2020,5,715,0,715,Boise
2020,6,"1,015",0,"1,015",Boise
2020,7,"1,379",0,"1,379",Boise
2020,8,"1,655",0,"1,655",Boise
2020,9,"1,575",0,"1,575",Boise
2020,10,"1,805",0,"1,805",Boise
2020,11,"1,839",0,"1,839",Boise
2020,12,"1,863",0,"1,863",Boise
2020,TOTAL,"18,804",1,"18,805",Boise
2021,1,"1,813",0,"1,813",Boise
2021,2,"1,587",1,"1,588",Boise
2021,3,"1,890",0,"1,890",Boise
2021,4,"1,804",0,"1,804",Boise
2021,5,"1,947",0,"1,947",Boise
2021,6,"2,256",0,"2,256",Boise
2021,7,"2,612",0,"2,612",Boise
2021,8,"2,553",0,"2,553",Boise
2021,9,"2,336",0,"2,336",Boise
2021,10,"2,198",0,"2,198",Boise
2021,11,"2,074",0,"2,074",Boise
2021,12,"1,940",0,"1,940",Boise
2021,TOTAL,"25,010",1,"25,011",Boise
2022,1,"2,050",0,"2,050",Boise
2022,2,"1,877",0,"1,877",Boise
2022,3,"2,023",0,"2,023",Boise
