"Passengers (All U.S. Carriers - Philadelphia, PA: Philadelphia International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2017,12,"10,30,235","1,03,495","11,33,730"
2017,TOTAL,"1,24,92,316","14,48,208","1,39,40,524"
2018,1,"9,41,696","84,990","10,26,686"
2018,2,"9,16,356","75,970","9,92,326"
2018,3,"10,67,949","1,05,174","11,73,123"
2018,4,"11,11,036","1,24,609","12,35,645"
2018,5,"11,78,546","1,62,562","13,41,108"
2018,6,"12,66,270","1,83,106","14,49,376"
2018,7,"12,59,592","1,63,000","14,22,592"
2018,8,"12,40,998","1,65,445","14,06,443"
2018,9,"10,35,117","1,38,931","11,74,048"
2018,10,"11,56,610","1,25,150","12,81,760"
2018,11,"10,93,846","95,003","11,88,849"
2018,12,"10,77,325","1,14,426","11,91,751"
2018,TOTAL,"1,33,45,341","15,38,366","1,48,83,707"
2019,1,"9,43,815","89,169","10,32,984"
2019,2,"9,13,657","76,990","9,90,647"
2019,3,"11,53,404","1,19,371","12,72,775"
2019,4,"11,68,277","1,28,020","12,96,297"
2019,5,"12,62,156","1,61,722","14,23,878"
2019,6,"12,68,144","1,86,542","14,54,686"
2019,7,"13,17,968","1,69,004","14,86,972"
2019,8,"13,16,097","1,71,792","14,87,889"
2019,9,"11,14,852","1,38,809","12,53,661"
2019,10,"12,38,392","1,17,832","13,56,224"
2019,11,"11,38,477","81,665","12,20,142"
2019,12,"11,78,385","1,00,888","12,79,273"
2019,TOTAL,"1,40,13,624","15,41,804","1,55,55,428"
2020,1,"9,86,338","80,654","10,66,992"
2020,2,"9,59,277","76,452","10,35,729"
2020,3,"5,19,136","37,072","5,56,208"
2020,4,"51,008",527,"51,535"
2020,5,"1,37,263","1,047","1,38,310"
2020,6,"2,47,948","1,936","2,49,884"
2020,7,"4,12,314","5,329","4,17,643"
2020,8,"5,33,175","7,061","5,40,236"
2020,9,"3,88,546","5,119","3,93,665"
2020,10,"4,46,686","12,100","4,58,786"
2020,11,"4,13,509","15,262","4,28,771"
2020,12,"4,01,161","19,134","4,20,295"
2020,TOTAL,"54,96,361","2,61,693","57,58,054"
2021,1,"3,50,706","12,775","3,63,481"
2021,2,"3,50,175","12,210","3,62,385"
2021,3,"5,59,006","24,361","5,83,367"
2021,4,"6,43,360","28,923","6,72,283"
2021,5,"7,78,250","34,302","8,12,552"
2021,6,"9,80,754","49,682","10,30,436"
2021,7,"10,70,797","58,282","11,29,079"
2021,8,"10,00,394","46,600","10,46,994"
2021,9,"8,46,417","30,892","8,77,309"
2021,10,"9,55,164","33,313","9,88,477"
2021,11,"8,71,268","40,765","9,12,033"
2021,12,"8,66,783","58,923","9,25,706"
2021,TOTAL,"92,73,074","4,31,028","97,04,102"
2022,1,"6,08,389","38,473","6,46,862"
2022,2,"7,00,876","45,822","7,46,698"
2022,3,"8,91,539","81,141","9,72,680"
2022,4,"9,40,930","1,11,622","10,52,552"
2022,5,"9,75,070","1,22,040","10,97,110"
2022,6,"10,07,312","1,49,138","11,56,450"
2022,7,"10,39,819","1,44,859","11,84,678"
2022,8,"9,98,047","1,30,477","11,28,524"
2022,9,"8,99,950","1,08,966","10,08,916"
2022,10,"10,34,284","97,256","11,31,540"
